Ваш SKU *,Название группы вариантов,Название товара *,Бренд *,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования
GFT2067,Подарочная карта MiFinity EUR Глобальный,Подарочная карта MiFinity на 10 Евро | Европа | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,10,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2073,Подарочная карта MiFinity USD Глобальный,Подарочная карта MiFinity на 100 Долларов | США | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,100,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2070,Подарочная карта MiFinity EUR Глобальный,Подарочная карта MiFinity на 100 Евро | Европа | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,100,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2254,Подарочная карта MiFinity Норвегия,Подарочная карта MiFinity на 1000 Норвежских крон | Норвегия | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,1000,99 лет,Норвегия,,,1,18+,,только для норвежских аккаунтов,бессрочно,,Норвегия
GFT2074,Подарочная карта MiFinity USD Глобальный,Подарочная карта MiFinity на 25 Долларов | США | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,25,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2068,Подарочная карта MiFinity EUR Глобальный,Подарочная карта MiFinity на 25 Евро | Европа | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,25,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2252,Подарочная карта MiFinity Норвегия,Подарочная карта MiFinity на 250 Норвежских крон | Норвегия | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,250,99 лет,Норвегия,,,1,18+,,только для норвежских аккаунтов,бессрочно,,Норвегия
GFT2072,Подарочная карта MiFinity USD Глобальный,Подарочная карта MiFinity на 50 Долларов | США | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,50,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2069,Подарочная карта MiFinity EUR Глобальный,Подарочная карта MiFinity на 50 Евро | Европа | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,50,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2253,Подарочная карта MiFinity Норвегия,Подарочная карта MiFinity на 500 Норвежских крон | Норвегия | Оригинальный код,Нет бренда,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,500,99 лет,Норвегия,,,1,18+,,только для норвежских аккаунтов,бессрочно,,Норвегия
